iter	Passed	Remaining
0	160	160455
1	161	80746
2	163	54184
3	164	40895
4	165	32950
5	167	27700
6	168	23873
7	169	21005
8	170	18778
9	171	16995
10	172	15530
11	173	14304
12	174	13274
13	175	12392
14	177	11635
15	178	10964
16	179	10373
17	180	9867
18	182	9405
19	183	8980
20	184	8596
21	185	8243
22	186	7924
23	187	7631
24	188	7360
25	189	7109
26	190	6881
27	192	6670
28	193	6469
29	194	6291
30	195	6125
31	197	5975
32	198	5826
33	199	5681
34	201	5545
35	202	5417
36	203	5293
37	204	5176
38	205	5068
39	206	4963
40	207	4863
41	209	4770
42	211	4702
43	212	4622
44	213	4538
45	214	4457
46	216	4383
47	217	4315
48	218	4248
49	220	4184
50	221	4122
51	222	4063
52	224	4011
53	226	3961
54	227	3914
55	229	3862
56	230	3809
57	232	3768
58	233	3726
59	236	3704
60	237	3663
61	239	3625
62	241	3591
63	243	3556
64	244	3517
65	245	3477
66	247	3442
67	248	3406
68	250	3386
69	252	3354
70	254	3324
71	256	3300
72	258	3282
73	259	3251
74	261	3219
75	262	3187
76	263	3160
77	265	3136
78	267	3121
79	269	3103
80	272	3087
81	273	3061
82	274	3030
83	275	3002
84	276	2977
85	278	2957
86	279	2934
87	281	2921
88	283	2900
89	285	2886
90	287	2873
91	289	2853
92	290	2832
93	292	2815
94	293	2798
95	295	2779
96	297	2771
97	299	2758
98	302	2755
99	304	2739
100	305	2722
101	307	2704
102	308	2688
103	310	2675
104	312	2666
105	315	2663
106	317	2647
107	318	2632
108	320	2616
109	321	2600
110	323	2588
111	324	2573
112	327	2568
113	329	2561
114	331	2551
115	332	2537
116	333	2520
117	335	2505
118	336	2491
119	338	2481
120	340	2472
121	342	2463
122	344	2455
123	347	2455
124	348	2441
125	350	2428
126	351	2414
127	352	2404
128	354	2396
129	357	2392
130	359	2386
131	361	2378
132	363	2369
133	364	2358
134	366	2346
135	367	2337
136	370	2333
137	373	2331
138	375	2327
139	377	2318
140	378	2307
141	379	2294
142	381	2285
143	383	2276
144	384	2266
145	387	2266
146	389	2262
147	392	2261
148	394	2251
149	395	2241
150	396	2231
151	398	2221
152	399	2212
153	401	2206
154	404	2205
155	407	2203
156	409	2197
157	410	2189
158	413	2187
159	414	2178
160	420	2189
161	421	2182
162	425	2182
163	426	2175
164	428	2166
165	429	2158
166	431	2151
167	434	2151
168	437	2149
169	441	2154
170	443	2148
171	444	2140
172	446	2136
173	449	2135
174	452	2131
175	455	2130
176	456	2123
177	458	2115
178	459	2108
179	462	2107
180	465	2104
181	467	2099
182	470	2099
183	472	2094
184	473	2086
185	475	2080
186	477	2076
187	479	2072
188	481	2066
189	484	2065
190	486	2062
191	488	2057
192	491	2053
193	493	2050
194	495	2045
195	497	2040
196	500	2038
197	501	2032
198	503	2026
199	505	2022
200	508	2020
201	510	2016
202	513	2015
203	515	2012
204	517	2006
205	519	2000
206	523	2003
207	525	2001
208	527	1996
209	529	1991
210	530	1985
211	532	1979
212	538	1988
213	539	1983
214	541	1977
215	543	1973
216	546	1973
217	550	1976
218	552	1970
219	554	1965
220	556	1960
221	557	1954
222	559	1949
223	561	1943
224	562	1938
225	565	1937
226	567	1932
227	569	1928
228	571	1924
229	573	1921
230	577	1922
231	583	1930
232	585	1926
233	587	1921
234	591	1926
235	600	1944
236	603	1942
237	605	1938
238	607	1934
239	616	1952
240	618	1947
241	620	1942
242	623	1941
243	625	1937
244	627	1932
245	629	1929
246	630	1923
247	632	1918
248	634	1913
249	636	1909
250	639	1908
251	641	1904
252	644	1901
253	646	1898
254	648	1896
255	650	1890
256	651	1884
257	653	1879
258	655	1875
259	657	1872
260	659	1868
261	661	1863
262	663	1859
263	665	1854
264	667	1850
265	669	1848
266	672	1845
267	675	1844
268	677	1842
269	679	1838
270	681	1833
271	683	1829
272	685	1825
273	688	1824
274	690	1819
275	691	1814
276	693	1809
277	694	1804
278	696	1799
279	697	1794
280	699	1789
281	702	1788
282	704	1784
283	705	1779
284	707	1774
285	708	1769
286	710	1765
287	712	1760
288	713	1755
289	715	1752
290	717	1749
291	719	1745
292	721	1740
293	723	1736
294	724	1731
295	726	1727
296	728	1723
297	730	1721
298	733	1718
299	734	1714
300	736	1710
301	738	1706
302	739	1701
303	741	1698
304	743	1694
305	746	1693
306	750	1694
307	752	1691
308	754	1686
309	756	1682
310	757	1678
311	760	1677
312	763	1676
313	766	1675
314	768	1671
315	770	1667
316	771	1662
317	773	1658
318	775	1655
319	777	1651
320	780	1650
321	782	1648
322	785	1645
323	787	1643
324	789	1639
325	792	1637
326	794	1634
327	796	1631
328	799	1630
329	801	1627
330	803	1623
331	806	1622
332	807	1618
333	810	1615
334	813	1614
335	815	1611
336	817	1607
337	819	1604
338	821	1601
339	822	1597
340	825	1595
341	828	1594
342	830	1590
343	831	1586
344	834	1584
345	837	1582
346	840	1582
347	842	1577
348	843	1573
349	844	1569
350	846	1565
351	849	1563
352	853	1565
353	856	1562
354	857	1558
355	859	1554
356	860	1549
357	864	1549
358	867	1548
359	870	1547
360	872	1544
361	873	1540
362	875	1536
363	877	1533
364	880	1531
365	882	1528
366	885	1526
367	887	1524
368	889	1520
369	890	1516
370	892	1513
371	896	1512
372	898	1510
373	899	1506
374	901	1502
375	902	1498
376	904	1494
377	905	1490
378	908	1487
379	912	1488
380	913	1484
381	915	1480
382	917	1477
383	918	1473
384	920	1470
385	922	1467
386	925	1465
387	927	1462
388	928	1458
389	930	1454
390	931	1451
391	933	1447
392	934	1443
393	936	1440
394	939	1438
395	941	1435
396	942	1431
397	943	1427
398	945	1424
399	947	1420
400	948	1417
401	950	1413
402	952	1411
403	954	1408
404	956	1405
405	957	1401
406	959	1397
407	960	1393
408	962	1390
409	963	1387
410	965	1383
411	967	1380
412	969	1377
413	970	1374
414	972	1370
415	973	1366
416	975	1363
417	976	1359
418	978	1356
419	979	1352
420	981	1349
421	984	1347
422	985	1344
423	987	1341
424	988	1337
425	990	1334
426	991	1331
427	993	1327
428	994	1324
429	996	1321
430	998	1318
431	1000	1315
432	1002	1312
433	1003	1309
434	1005	1306
435	1007	1302
436	1008	1299
437	1010	1296
438	1012	1294
439	1014	1291
440	1016	1288
441	1018	1285
442	1020	1282
443	1021	1279
444	1023	1276
445	1025	1273
446	1030	1274
447	1032	1272
448	1034	1269
449	1036	1266
450	1038	1263
451	1040	1261
452	1045	1261
453	1047	1259
454	1048	1256
455	1050	1253
456	1052	1250
457	1054	1247
458	1056	1245
459	1059	1243
460	1061	1241
461	1063	1237
462	1064	1234
463	1066	1232
464	1068	1229
465	1070	1226
466	1072	1224
467	1075	1222
468	1077	1219
469	1078	1216
470	1080	1213
471	1082	1210
472	1083	1207
473	1086	1205
474	1090	1205
475	1092	1202
476	1094	1199
477	1097	1198
478	1099	1196
479	1103	1194
480	1106	1194
